,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:18:28.720588+02:00,0.007280055513308084,,27576,,,2,0,BVIEW_tracked_3d_object,0.43317355196378277,-0.060236374536310686,0.2794205878864971
1,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:18:28.726326+02:00,1.8641896109877871,,27578,,,3,0,BVIEW_tracked_3d_object,0.4283665219014707,-0.06370779185810552,0.278924071242309
2,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:18:28.732045+02:00,1.648378435840259,,27580,,,3,0,BVIEW_tracked_3d_object,0.4283888996059109,-0.06448146734279492,0.2783510179759583
3,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": -1, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:18:28.737679+02:00,1.054468808542429,,27582,,,2,0,BVIEW_tracked_3d_object,0.4241855705662792,-0.013066063810662743,0.3025723197802709
4,"{""cam_vid_id_2436"": -1, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:18:28.743137+02:00,1.5762417047025032,,27584,,,2,0,BVIEW_tracked_3d_object,0.41642309769594366,0.05914800345780441,0.3299911487478032
5,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:18:28.748629+02:00,1.014670957346036,,27586,,,2,0,BVIEW_tracked_3d_object,0.3898987081603653,0.14379473412343602,0.3386661314028865
6,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:18:28.754125+02:00,0.9017068979753591,,27588,,,2,0,BVIEW_tracked_3d_object,0.4209315433212673,0.2578396851709511,0.3614038606946686
7,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:18:28.759440+02:00,0.041403166230472715,,27590,,,2,0,BVIEW_tracked_3d_object,0.3046702912136733,0.28904740523349665,0.35777435740628116
8,"{""cam_vid_id_2436"": -1, ""cam_vid_id_2434"": -1, ""cam_vid_id_2438"": -1}             ",2020-10-18T08:18:28.764645+02:00,0.041403166230472715,,27592,,,0,0,BVIEW_tracked_3d_object,0.3046702912136733,0.28904740523349665,0.35777435740628116
9,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:18:28.770172+02:00,1.5584558048648645,,27594,,,2,0,BVIEW_tracked_3d_object,0.37783640098613036,0.5217213584560684,0.32987347928869226
10,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:18:28.775503+02:00,1.9411857932356271,,27596,,,3,0,BVIEW_tracked_3d_object,0.3470126245720094,0.5958385489112124,0.3052216146930849
