,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_2473"": -1, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": 0}               ",2020-10-18T08:35:06.525905+02:00,0.32511268093556966,,143335,,,2,0,BVIEW_tracked_3d_object,0.37654965689161257,0.7658922629319062,0.29715254067533553
1,"{""cam_vid_id_2473"": -1, ""cam_vid_id_2471"": -1, ""cam_vid_id_2476"": -1}             ",2020-10-18T08:35:06.530499+02:00,0.32511268093556966,,143337,,,0,0,BVIEW_tracked_3d_object,0.37654965689161257,0.7658922629319062,0.29715254067533553
2,"{""cam_vid_id_2473"": 0, ""cam_vid_id_2471"": -1, ""cam_vid_id_2476"": 0}               ",2020-10-18T08:35:06.535489+02:00,0.731354980172385,,143339,,,2,0,BVIEW_tracked_3d_object,0.31815790009255057,0.6847023252047725,0.3269362329133925
3,"{""cam_vid_id_2473"": -1, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": 0}               ",2020-10-18T08:35:06.540356+02:00,1.2046605511383013,,143341,,,2,0,BVIEW_tracked_3d_object,0.25444928716623627,0.6472323405875212,0.3542651169673775
4,"{""cam_vid_id_2473"": -1, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": 0}               ",2020-10-18T08:35:06.545281+02:00,1.5400680289363016,,143343,,,2,0,BVIEW_tracked_3d_object,0.19675449355807814,0.569624718952188,0.36581958522112573
5,"{""cam_vid_id_2473"": 0, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": -1}               ",2020-10-18T08:35:06.550019+02:00,1.158775373064404,,143345,,,2,0,BVIEW_tracked_3d_object,0.14714347624987825,0.5105049136215768,0.3701914800801605
6,"{""cam_vid_id_2473"": -1, ""cam_vid_id_2471"": -1, ""cam_vid_id_2476"": -1}             ",2020-10-18T08:35:06.554730+02:00,1.158775373064404,,143347,,,0,0,BVIEW_tracked_3d_object,0.14714347624987825,0.5105049136215768,0.3701914800801605
7,"{""cam_vid_id_2473"": 0, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": -1}               ",2020-10-18T08:35:06.559800+02:00,0.47472338710366335,,143349,,,2,0,BVIEW_tracked_3d_object,0.026734334923983707,0.3814668577000279,0.34922939242014267
8,"{""cam_vid_id_2473"": 0, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": -1}               ",2020-10-18T08:35:06.564676+02:00,0.49189023827051426,,143351,,,2,0,BVIEW_tracked_3d_object,-0.04863320608253902,0.33019694007580724,0.3369843919970108
9,"{""cam_vid_id_2473"": 0, ""cam_vid_id_2471"": 0, ""cam_vid_id_2476"": -1}               ",2020-10-18T08:35:06.569614+02:00,1.6296034434585125,,143353,,,2,0,BVIEW_tracked_3d_object,-0.0963998417349847,0.29457495044421395,0.31702387905567453
