,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": -1, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:15:01.616859+02:00,0.7291953915624967,,16969,,,2,0,BVIEW_tracked_3d_object,0.4318765094069513,-0.05950668720921121,0.13909339735312656
1,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:15:01.622440+02:00,0.29178363141085695,,16971,,,2,0,BVIEW_tracked_3d_object,0.4401245419948325,-0.057996893380474465,0.13806833141376462
2,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:15:01.628105+02:00,0.16048974304721683,,16973,,,2,0,BVIEW_tracked_3d_object,0.4388195604275608,-0.05913698029931481,0.13728306103456533
3,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:15:01.633854+02:00,1.7138954865946876,,16975,,,3,0,BVIEW_tracked_3d_object,0.43173527269267037,-0.0618929677087891,0.13864553160634058
4,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": -1, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:15:01.639692+02:00,0.8958187663874031,,16977,,,2,0,BVIEW_tracked_3d_object,0.4513321036431176,0.026423670246878143,0.16627811964386144
5,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": -1, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:15:01.645470+02:00,0.11416708614872526,,16979,,,2,0,BVIEW_tracked_3d_object,0.47222568614865446,0.0921350730498029,0.17993375597841374
6,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:15:01.651205+02:00,1.2429955153972438,,16981,,,3,0,BVIEW_tracked_3d_object,0.4990488530127086,0.17542460174700011,0.19595605477509626
7,"{""cam_vid_id_2438"": 0, ""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0}                ",2020-10-18T08:15:01.656945+02:00,1.5337642546700687,,16983,,,3,0,BVIEW_tracked_3d_object,0.5243414086802667,0.27291304586688525,0.20129579330040312
8,"{""cam_vid_id_2436"": 0, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": -1}               ",2020-10-18T08:15:01.662509+02:00,0.039762164796504164,,16985,,,2,0,BVIEW_tracked_3d_object,0.5281335351314886,0.3557077582756232,0.1954338225838461
9,"{""cam_vid_id_2436"": -1, ""cam_vid_id_2434"": 0, ""cam_vid_id_2438"": 0}               ",2020-10-18T08:15:01.667976+02:00,1.1570960075892867,,16987,,,2,0,BVIEW_tracked_3d_object,0.5663152020006508,0.45016985697002665,0.1768424161157564
