filename,sapID,x,y,ID,spider,vidGroup,x_min,x_max,y_min,y_max
20180424_150523_displ2,2,0.63,0.02,JUR12,1,8,,,,
20180424_150523_displ2,3,-0.03,0.22,JUR12,1,8,,,,
20180424_150523_displ2,4,0.44,0.73,JUR12,1,8,,,,
20180424_150523_displ2,5,1.14,0.58,JUR12,1,8,,,,
20180424_150523_displ2,G,0.56,0.18,JUR12,1,8,,,,

20180424_152929_displ3,1,0.8,0.15,JUR12,1,8,,,,
20180424_152929_displ3,2,0.60,0.12,JUR12,1,8,,,,
20180424_152929_displ3,3,-0.04,0.21,JUR12,1,8,,,,
20180424_152929_displ3,4,0.44,0.75,JUR12,1,8,,,,
20180424_152929_displ3,5,1.13,0.59,JUR12,1,8,,,,
20180424_152929_displ3,G,0.57,0.12,JUR12,1,8,,,,
20180424_153800_displ4,1,0.8,0.18,JUR12,1,8,,,,
20180424_153800_displ4,2,0.62,-0.02,JUR12,1,8,,,,
20180424_153800_displ4,4,0.44,0.74,JUR12,1,8,,,,
20180424_153800_displ4,5,1.12,0.59,JUR12,1,8,,,,
20180424_153800_displ4,G,0.59,0.17,JUR12,1,8,,,,
20180424_155451_displ5,1,0.81,0.16,JUR12,1,8,,,,
20180424_155451_displ5,2,0.62,0.04,JUR12,1,8,,,,
20180424_155451_displ5,4,0.44,0.74,JUR12,1,8,,,,
20180424_155451_displ5,5,1.12,0.55,JUR12,1,8,,,,
20180424_155451_displ5,G,0.60,0.14,JUR12,1,8,,,,

20180426_083112_displ1,1,0.10,0.01,JUR12,1,14,,,,
20180426_083112_displ1,2,-0.06,0.21,JUR12,1,14,,,,
20180426_083112_displ1,4,0.68,0.31,JUR12,1,14,,,,
20180426_083112_displ1,5,0.49,-0.39,JUR12,1,14,,,,
20180426_083112_displ1,G,0.10,0.25,JUR12,1,14,,,,

20180427_080615_displ1,1,-0.14,0.36,JUR12,1,15,,,,
20180427_080615_displ1,2,-0.06,0.64,JUR12,1,15,,,,
20180427_080615_displ1,3,0.52,1.04,JUR12,1,15,,,,
20180427_080615_displ1,4,0.65,0.33,JUR12,1,15,,,,
20180427_080615_displ1,G,0.12,0.61,JUR12,1,15,,,,

20180429_140818_displ2,1,-0.11,0.33,JUR12,1,9,,,,
20180429_140818_displ2,2,-0.05,0.57,JUR12,1,9,,,,
20180429_140818_displ2,4,0.61,0.20,JUR12,1,9,,,,
20180429_140818_displ2,6,-0.09,-0.16,JUR12,1,9,,,,
20180429_140818_displ2,G,0.11,0.54,JUR12,1,9,,,,
20180429_141542_displ3,1,-0.13,0.30,JUR12,1,9,,,,
20180429_141542_displ3,2,-0.03,0.60,JUR12,1,9,,,,
20180429_141542_displ3,4,0.60,0.22,JUR12,1,9,,,,
20180429_141542_displ3,5,0.02,-0.23,JUR12,1,9,,,,
20180429_141542_displ3,G,0.12,0.53,JUR12,1,9,,,,

20180225_073721_displ1,1,0.04,-0.02,CAN03,0,10,,,,
20180225_073721_displ1,3,0.90,-0.65,CAN03,0,10,,,,
