,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
520,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 0, ""cam_vid_id_2871"": 0}               ",2020-11-06T20:35:37.324948+01:00,1.3174597045566248,,9016,,,2,11,BVIEW_tracked_3d_object,-0.07202113748254951,0.34120125813067587,0.1336660572324313
521,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 1, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.334641+01:00,1.4008946304987,,9017,,,2,11,BVIEW_tracked_3d_object,-0.07398773384140107,0.34412890528075923,0.1379185245365025
522,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 1, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.343512+01:00,0.6267543567526138,,9018,,,2,11,BVIEW_tracked_3d_object,-0.07467498564887763,0.34207803477435006,0.13811723864457798
523,"{""cam_vid_id_2877"": 0, ""cam_vid_id_2875"": 0, ""cam_vid_id_2871"": -1}               ",2020-11-06T20:35:37.352776+01:00,0.35955938603248583,,9019,,,2,11,BVIEW_tracked_3d_object,-0.10787602219754451,0.3282772175588109,0.13057617881353803
524,"{""cam_vid_id_2877"": 0, ""cam_vid_id_2875"": 0, ""cam_vid_id_2871"": -1}               ",2020-11-06T20:35:37.363890+01:00,1.5641644706106352,,9020,,,2,11,BVIEW_tracked_3d_object,-0.10513373248038578,0.3286806001195914,0.12995281397564923
525,"{""cam_vid_id_2877"": 1, ""cam_vid_id_2875"": -1, ""cam_vid_id_2871"": 0}               ",2020-11-06T20:35:37.374043+01:00,1.7366760541632438,,9021,,,2,11,BVIEW_tracked_3d_object,-0.10805529623648658,0.3298286456423459,0.12967466350608317
526,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 1, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.391444+01:00,1.6003641359796295,,9022,,,2,11,BVIEW_tracked_3d_object,-0.10872560284147229,0.3277499259014312,0.1289179524111064
527,"{""cam_vid_id_2877"": 0, ""cam_vid_id_2875"": -1, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.401063+01:00,0.8958795478080239,,9023,,,2,11,BVIEW_tracked_3d_object,-0.0805007946217392,0.33953849223035093,0.12771221538131694
528,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 1, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.419101+01:00,0.9469423805243553,,9024,,,2,11,BVIEW_tracked_3d_object,-0.08563344746736412,0.3349913537230811,0.1318042403101558
529,"{""cam_vid_id_2877"": -1, ""cam_vid_id_2875"": 0, ""cam_vid_id_2871"": 1}               ",2020-11-06T20:35:37.427466+01:00,0.636330384091639,,9025,,,2,11,BVIEW_tracked_3d_object,-0.07246050840023673,0.341301418927646,0.13678942157525845
