,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
0,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:43:23.084690+01:00,0.07208061268370945,,126333,,,2,0,BVIEW_tracked_3d_object,0.8800480561081949,-0.6523822121215277,0.51189928968992
1,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:43:23.104492+01:00,1.176770275488255,,126334,,,2,0,BVIEW_tracked_3d_object,0.8789055808895432,-0.6467879483869844,0.5133128239860595
2,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:43:23.107649+01:00,1.176770275488255,,126335,,,0,0,BVIEW_tracked_3d_object,0.8789055808895432,-0.6467879483869844,0.5133128239860595
3,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:43:23.109310+01:00,1.176770275488255,,126336,,,0,0,BVIEW_tracked_3d_object,0.8789055808895432,-0.6467879483869844,0.5133128239860595
4,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 2}               ",2020-11-11T11:43:23.153249+01:00,1.5556970627959905,,126353,,,2,1,BVIEW_tracked_3d_object,0.1943042681198466,-0.13884220492476865,0.4159887818718849
5,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:43:23.156234+01:00,1.5556970627959905,,126354,,,2,1,BVIEW_tracked_3d_object,0.1943042681198466,-0.13884220492476865,0.4159887818718849
6,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:43:23.159048+01:00,0.2073251676932892,,126355,,,2,1,BVIEW_tracked_3d_object,0.10932730924159655,-0.086345172530959,0.37357980995005785
7,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:43:23.162177+01:00,0.2073251676932892,,126356,,,0,1,BVIEW_tracked_3d_object,0.10932730924159655,-0.086345172530959,0.37357980995005785
8,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:43:23.167460+01:00,1.1669448600742358,,126357,,,2,1,BVIEW_tracked_3d_object,0.045117466527274816,-0.022841785686694375,0.3277672183617862
9,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:43:23.172161+01:00,1.8594093328344428,,126358,,,2,1,BVIEW_tracked_3d_object,0.03849579819519189,-0.02448171534242354,0.3211405427066006
10,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:43:23.177315+01:00,1.742201955678417,,126359,,,2,1,BVIEW_tracked_3d_object,0.0327849434670138,-0.025916590469353008,0.3241696736072511
