,_cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
141,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.817256+01:00,0.40273477178771444,,46488,,,2,88,BVIEW_tracked_3d_object,-0.18966358359923108,0.2825956868052823,0.36224265473228695
142,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.820460+01:00,0.5243315664560334,,46489,,,2,88,BVIEW_tracked_3d_object,-0.19106039617630508,0.28318035629733573,0.3621280299433767
143,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.823434+01:00,0.7708638051178075,,46490,,,2,88,BVIEW_tracked_3d_object,-0.19073760299515138,0.28255630317355557,0.36222402393893216
144,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.826742+01:00,0.8408929318965388,,46491,,,2,88,BVIEW_tracked_3d_object,-0.19080137621590715,0.28244307822791953,0.36232494251734654
145,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.829726+01:00,0.7125942562553036,,46492,,,2,88,BVIEW_tracked_3d_object,-0.19159387629219699,0.28200711209235346,0.3620526070117377
146,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.832650+01:00,0.41466955576828146,,46493,,,2,88,BVIEW_tracked_3d_object,-0.19064702762153404,0.2833211064454644,0.36207898199851857
147,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.835546+01:00,1.344927450371818,,46494,,,2,88,BVIEW_tracked_3d_object,-0.1913134635617162,0.2843911665373827,0.362222765769342
148,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.838510+01:00,1.008572468732771,,46495,,,2,88,BVIEW_tracked_3d_object,-0.192504482974304,0.28329291335495616,0.3621456725594325
149,"{""cam_vid_id_2789"": 0, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": 0}               ",2020-11-06T21:41:36.840861+01:00,1.3054910277033387,,46496,,,2,88,BVIEW_tracked_3d_object,-0.19168843763388685,0.28299953552053003,0.36224311291602734
150,"{""cam_vid_id_2789"": -1, ""cam_vid_id_2791"": -1, ""cam_vid_id_2790"": -1}             ",2020-11-06T21:41:36.843129+01:00,1.3054910277033387,,46497,,,0,88,BVIEW_tracked_3d_object,-0.19168843763388685,0.28299953552053003,0.36224311291602734
