,cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
68,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:22.653468+01:00,0.12342048372187216,,37655,,,0,28,BVIEW_tracked_3d_object,0.04582835213988683,-0.032297605286244625,0.4749637787120213
69,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:22.662619+01:00,0.22684522516248573,,37656,,,2,28,BVIEW_tracked_3d_object,0.04012251447857953,-0.034279832741566096,0.4743509417035497
70,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:22.672891+01:00,0.9584487816009046,,37657,,,2,28,BVIEW_tracked_3d_object,0.03854247641784177,-0.034640020306332106,0.47397647675033105
71,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:22.681918+01:00,1.4183550033244043,,37658,,,2,28,BVIEW_tracked_3d_object,0.03460694720875498,-0.03604059038785042,0.47396373217255344
72,"{""cam_vid_id_2464"": 7, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.692497+01:00,1.6447526819030087,,37659,,,2,28,BVIEW_tracked_3d_object,0.037665121601738606,-0.035560254328569484,0.474851273757992
73,"{""cam_vid_id_2464"": 4, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.703856+01:00,0.46620547004104146,,37660,,,2,28,BVIEW_tracked_3d_object,0.06547634979934962,-0.03408641981916078,0.4816957365086717
74,"{""cam_vid_id_2464"": 4, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.714344+01:00,0.23315103524904207,,37661,,,2,28,BVIEW_tracked_3d_object,0.06095341591264005,-0.035725217999075305,0.48016559668385683
75,"{""cam_vid_id_2464"": 3, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.725697+01:00,0.5459658631642162,,37662,,,2,28,BVIEW_tracked_3d_object,0.06694527049902194,-0.03891001982155384,0.4815755947976946
76,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.737485+01:00,0.921509156747284,,37663,,,2,28,BVIEW_tracked_3d_object,0.06598050195121882,-0.028640900740643342,0.4795353824903832
77,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.747488+01:00,0.8330651976891075,,37664,,,2,28,BVIEW_tracked_3d_object,0.06743345773185924,-0.02499821550786429,0.4789821301716669
78,"{""cam_vid_id_2464"": 5, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.765300+01:00,1.6162241772646548,,37665,,,2,28,BVIEW_tracked_3d_object,0.06517502355365933,-0.025024092411384875,0.4796445127913289
79,"{""cam_vid_id_2464"": 5, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.777554+01:00,0.5984751080154928,,37666,,,2,28,BVIEW_tracked_3d_object,0.0641946784882209,-0.03387678479418714,0.48068153173852457
80,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.788689+01:00,1.4584781001908114,,37667,,,2,28,BVIEW_tracked_3d_object,0.06559615468036621,-0.024728748779224253,0.47819474774838705
81,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.796819+01:00,0.13372020557561123,,37668,,,2,28,BVIEW_tracked_3d_object,0.06865359169026249,-0.027360873969003306,0.47869558045759514
82,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 3, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.806637+01:00,1.84153924968366,,37669,,,2,28,BVIEW_tracked_3d_object,0.0657550766269504,-0.025911266159386853,0.4782697767095126
83,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.823882+01:00,0.12936571824404902,,37670,,,2,28,BVIEW_tracked_3d_object,0.06797142132976842,-0.028226466566910316,0.48104976758552537
84,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.833107+01:00,1.9327595095809007,,37671,,,2,28,BVIEW_tracked_3d_object,0.08343859773985346,-0.07540055553298024,0.49430721752166257
85,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:22.840056+01:00,1.9327595095809007,,37672,,,0,28,BVIEW_tracked_3d_object,0.08343859773985346,-0.07540055553298024,0.49430721752166257
86,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 3, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.846563+01:00,0.5797051237827224,,37673,,,2,28,BVIEW_tracked_3d_object,0.07677675403871667,-0.14805177053809415,0.5207118494648048
87,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.854546+01:00,1.5132166340996265,,37674,,,2,28,BVIEW_tracked_3d_object,0.05425128091757539,-0.1950130303882671,0.5211399241625164
88,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 4, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.862891+01:00,0.911698472820973,,37675,,,2,28,BVIEW_tracked_3d_object,0.08273673263094326,-0.23017091201593548,0.5367584845538121
89,"{""cam_vid_id_2464"": 2, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.873040+01:00,0.6383005763918199,,37676,,,2,28,BVIEW_tracked_3d_object,0.09118917569748915,-0.3041673493488104,0.5290754005897456
90,"{""cam_vid_id_2464"": 2, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.881998+01:00,0.8104424678535411,,37677,,,2,28,BVIEW_tracked_3d_object,0.07787087681134122,-0.3213195351378087,0.5402981758544976
91,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:22.890683+01:00,0.8104424678535411,,37678,,,0,28,BVIEW_tracked_3d_object,0.07787087681134122,-0.3213195351378087,0.5402981758544976
92,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:22.897374+01:00,0.8104424678535411,,37679,,,0,28,BVIEW_tracked_3d_object,0.07787087681134122,-0.3213195351378087,0.5402981758544976
93,"{""cam_vid_id_2464"": 4, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.904463+01:00,0.06170458449016765,,37680,,,2,28,BVIEW_tracked_3d_object,0.07532741921034437,-0.4633000039501004,0.5280854159176154
94,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.911663+01:00,0.6842577792717686,,37681,,,2,28,BVIEW_tracked_3d_object,0.054612035645044105,-0.5120674880256557,0.5172747803426715
95,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.920030+01:00,0.261784930515378,,37682,,,2,28,BVIEW_tracked_3d_object,0.07214285023451436,-0.5519159004296287,0.5099610906597668
96,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.949185+01:00,1.0967050061571215,,37683,,,2,28,BVIEW_tracked_3d_object,0.04405627023814219,-0.5836029675282537,0.4920696648516548
97,"{""cam_vid_id_2464"": 6, ""cam_vid_id_2466"": 3, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:22.968657+01:00,1.0569819215495448,,37684,,,2,28,BVIEW_tracked_3d_object,0.04867921141619846,-0.6258078221099934,0.4750771807334648
98,"{""cam_vid_id_2464"": 3, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:22.974177+01:00,0.7738268820087348,,37685,,,2,28,BVIEW_tracked_3d_object,0.03693869624486858,-0.6598076552950904,0.4701712726643307
99,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:22.983044+01:00,0.7738268820087348,,37686,,,0,28,BVIEW_tracked_3d_object,0.03693869624486858,-0.6598076552950904,0.4701712726643307
100,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": 1}               ",2020-11-11T11:55:22.993304+01:00,1.1246698446053363,,37687,,,2,28,BVIEW_tracked_3d_object,0.04771435737166916,-0.6992257158807562,0.45779448779610016
101,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": -1}             ",2020-11-11T11:55:23.000594+01:00,1.1246698446053363,,37688,,,0,28,BVIEW_tracked_3d_object,0.04771435737166916,-0.6992257158807562,0.45779448779610016
102,"{""cam_vid_id_2464"": 3, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 1}               ",2020-11-11T11:55:23.020132+01:00,1.6392818309425996,,37689,,,2,28,BVIEW_tracked_3d_object,0.058619885742117926,-0.694028308416488,0.4613118407238745
103,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 4, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.051945+01:00,1.210215420628146,,37690,,,2,28,BVIEW_tracked_3d_object,0.08275352182106295,-0.7102010622616506,0.46671259288535283
104,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.065325+01:00,1.4084366464793359,,37691,,,2,28,BVIEW_tracked_3d_object,0.08507879182813893,-0.7183648719517922,0.4640699568521329
105,"{""cam_vid_id_2464"": 2, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 2}               ",2020-11-11T11:55:23.071265+01:00,1.0264899159211178,,37692,,,2,28,BVIEW_tracked_3d_object,0.09848504433028174,-0.7204108831239272,0.45950269854115866
106,"{""cam_vid_id_2464"": -1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:23.076764+01:00,0.9488203108439623,,37693,,,2,28,BVIEW_tracked_3d_object,0.06277008465383344,-0.7190159743008014,0.4542453859152943
107,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.083077+01:00,0.411681842561342,,37694,,,2,28,BVIEW_tracked_3d_object,0.04819111567192653,-0.7025756891886905,0.4607065033425572
108,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.087729+01:00,0.04048967037038367,,37695,,,2,28,BVIEW_tracked_3d_object,0.05803676313634824,-0.7062705375176015,0.46126235426800904
109,"{""cam_vid_id_2464"": 2, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.092500+01:00,1.2574359337067946,,37696,,,2,28,BVIEW_tracked_3d_object,0.059085931457048116,-0.7068239126092377,0.4605495607602282
